work_year,salary_in_usd,employment_type,industry,job_title,season,company_location,skills,quarter,posting_date,experience_level,skill_count
2020,70000,Full-time,Technology,Data Scientist,Summer,Germany,"Machine Learning, Python, SQL, Statistics",2,6/4/2020,Mid Level,4
2020,260000,Full-time,Technology,Machine Learning Scientist,Autumn,Japan,"Deep Learning, Python, Scikit-learn, TensorFlow",3,9/26/2020,Executive,4
2020,85000,Full-time,Technology,Big Data Engineer,Spring,United Kingdom,"ETL, Python, SQL, Spark",2,4/6/2020,Mid Level,4
2020,20000,Full-time,Finance,Product Data Analyst,Spring,others,"Excel, Power BI, SQL, Tableau",2,4/10/2020,Entry Level,4
2020,150000,Full-time,Technology,Machine Learning Engineer,Summer,United States,"Deep Learning, Python, Scikit-learn, TensorFlow",3,8/24/2020,Senior Level,4
2020,72000,Full-time,Finance,Data Analyst,Spring,United States,"Excel, Power BI, SQL, Tableau",2,4/18/2020,Mid Level,4
2020,190000,Full-time,Technology,Lead Data Scientist,Summer,United States,"Machine Learning, Python, SQL, Statistics",3,7/7/2020,Senior Level,4
2020,11000000,Full-time,Technology,Data Scientist,Autumn,others,"Machine Learning, Python, SQL, Statistics",3,9/3/2020,Executive,4
2020,135000,Full-time,Finance,BUnited Statesiness Data Analyst,Autumn,United States,"Excel, Power BI, SQL, Tableau",4,10/1/2020,Senior Level,4
2020,125000,Full-time,Technology,Lead Data Engineer,Summer,New Zealand,"ETL, Python, SQL, Spark",2,6/10/2020,Senior Level,4
2020,45000,Full-time,Technology,Data Scientist,Summer,France,"Machine Learning, Python, SQL, Statistics",2,6/16/2020,Entry Level,4
2020,3000000,Full-time,Technology,Data Scientist,Winter,India,"Machine Learning, Python, SQL, Statistics",1,2/25/2020,Executive,4
2020,35000,Full-time,Technology,Data Scientist,Winter,France,"Machine Learning, Python, SQL, Statistics",1,2/14/2020,Entry Level,4
2020,87000,Full-time,Finance,Lead Data Analyst,Winter,United States,"Excel, Power BI, SQL, Tableau",4,12/2/2020,Mid Level,4
2020,85000,Full-time,Finance,Data Analyst,Spring,United States,"Excel, Power BI, SQL, Tableau",2,5/21/2020,Mid Level,4
2020,8000,Full-time,Finance,Data Analyst,Summer,Pakistan,"Excel, Power BI, SQL, Tableau",3,7/6/2020,Entry Level,4
2020,4450000,Full-time,Technology,Data Engineer,Summer,Japan,"ETL, Python, SQL, Spark",2,6/5/2020,Executive,4
2020,100000,Full-time,Technology,Big Data Engineer,Summer,United Kingdom,"ETL, Python, SQL, Spark",3,8/25/2020,Mid Level,4
2020,423000,Full-time,General,Data Science Consultant,Summer,India,"Communication, Python, SQL",3,7/13/2020,Executive,3
2020,56000,Full-time,Technology,Lead Data Engineer,Winter,United States,"ETL, Python, SQL, Spark",4,12/14/2020,Mid Level,4
2020,299000,Full-time,Technology,Machine Learning Engineer,Spring,others,"Deep Learning, Python, Scikit-learn, TensorFlow",2,5/26/2020,Executive,4
2020,450000,Full-time,Finance,Product Data Analyst,Autumn,India,"Excel, Power BI, SQL, Tableau",4,11/3/2020,Executive,4
2020,42000,Full-time,Technology,Data Engineer,Summer,Greece,"ETL, Python, SQL, Spark",2,6/1/2020,Entry Level,4
2020,98000,Full-time,Finance,BI Data Analyst,Winter,United States,"Excel, Power BI, SQL, Tableau",1,2/9/2020,Mid Level,4
2020,115000,Full-time,Technology,Lead Data Scientist,Summer,United Arab Emirates,"Machine Learning, Python, SQL, Statistics",2,6/20/2020,Senior Level,4
