work_year,salary,employment_type,industry,job_title,season,company_location,skills,quarter,posting_date
2020.0,70000,FT,Technology,Data Scientist,Summer,DE,"Machine Learning, Python, SQL, Statistics",2.0,2020-06-04
2020.0,260000,FT,Technology,Machine Learning Scientist,Autumn,JP,"Deep Learning, Python, Scikit-learn, TensorFlow",3.0,2020-09-26
2020.0,85000,FT,Technology,Big Data Engineer,Spring,GB,"ETL, Python, SQL, Spark",2.0,2020-04-06
2020.0,20000,FT,Finance,Product Data Analyst,Spring,HN,"Excel, Power BI, SQL, Tableau",2.0,2020-04-10
2020.0,150000,FT,Technology,Machine Learning Engineer,Summer,US,"Deep Learning, Python, Scikit-learn, TensorFlow",3.0,2020-08-24
2020.0,72000,FT,Finance,Data Analyst,Spring,US,"Excel, Power BI, SQL, Tableau",2.0,2020-04-18
2020.0,190000,FT,Technology,Lead Data Scientist,Summer,US,"Machine Learning, Python, SQL, Statistics",3.0,2020-07-07
2020.0,11000000,FT,Technology,Data Scientist,Autumn,HU,"Machine Learning, Python, SQL, Statistics",3.0,2020-09-03
2020.0,135000,FT,Finance,Business Data Analyst,Autumn,US,"Excel, Power BI, SQL, Tableau",4.0,2020-10-01
2020.0,125000,FT,Technology,Lead Data Engineer,Summer,NZ,"ETL, Python, SQL, Spark",2.0,2020-06-10
2020.0,45000,FT,Technology,Data Scientist,Summer,FR,"Machine Learning, Python, SQL, Statistics",2.0,2020-06-16
2020.0,3000000,FT,Technology,Data Scientist,Winter,IN,"Machine Learning, Python, SQL, Statistics",1.0,2020-02-25
2020.0,35000,FT,Technology,Data Scientist,Winter,FR,"Machine Learning, Python, SQL, Statistics",1.0,2020-02-14
2020.0,87000,FT,Finance,Lead Data Analyst,Winter,US,"Excel, Power BI, SQL, Tableau",4.0,2020-12-02
2020.0,85000,FT,Finance,Data Analyst,Spring,US,"Excel, Power BI, SQL, Tableau",2.0,2020-05-21
2020.0,8000,FT,Finance,Data Analyst,Summer,PK,"Excel, Power BI, SQL, Tableau",3.0,2020-07-06
2020.0,4450000,FT,Technology,Data Engineer,Summer,JP,"ETL, Python, SQL, Spark",2.0,2020-06-05
2020.0,100000,FT,Technology,Big Data Engineer,Summer,GB,"ETL, Python, SQL, Spark",3.0,2020-08-25
2020.0,423000,FT,General,Data Science Consultant,Summer,IN,"Communication, Python, SQL",3.0,2020-07-13
