work_year,employment_type,job_title,salary,salary_currency,company_location,country,code,country_name,skills,industry,posting_date,season,quarter
2020,FT,Data Scientist,70000,EUR,DE,Germany,US,United States,"Machine Learning, Python, SQL, Statistics",Technology,2020-06-04,Summer,2
2020,FT,Machine Learning Scientist,260000,USD,JP,Japan,IN,India,"Deep Learning, Python, Scikit-learn, TensorFlow",Technology,2020-09-26,Autumn,3
2020,FT,Big Data Engineer,85000,GBP,GB,United Kingdom,GB,United Kingdom,"ETL, Python, SQL, Spark",Technology,2020-04-06,Spring,2
2020,FT,Product Data Analyst,20000,USD,HN,,DE,Germany,"Excel, Power BI, SQL, Tableau",Finance,2020-04-10,Spring,2
2020,FT,Machine Learning Engineer,150000,USD,US,United States,FR,France,"Deep Learning, Python, Scikit-learn, TensorFlow",Technology,2020-08-24,Summer,3
2020,FT,Data Analyst,72000,USD,US,United States,JP,Japan,"Excel, Power BI, SQL, Tableau",Finance,2020-04-18,Spring,2
2020,FT,Lead Data Scientist,190000,USD,US,United States,CA,Canada,"Machine Learning, Python, SQL, Statistics",Technology,2020-07-07,Summer,3
2020,FT,Data Scientist,11000000,HUF,HU,,NL,Netherlands,"Machine Learning, Python, SQL, Statistics",Technology,2020-09-03,Autumn,3
2020,FT,Business Data Analyst,135000,USD,US,United States,PK,Pakistan,"Excel, Power BI, SQL, Tableau",Finance,2020-10-01,Autumn,4
2020,FT,Lead Data Engineer,125000,USD,NZ,,IR,Iran,"ETL, Python, SQL, Spark",Technology,2020-06-10,Summer,2
2020,FT,Data Scientist,45000,EUR,FR,France,BR,Brazil,"Machine Learning, Python, SQL, Statistics",Technology,2020-06-16,Summer,2
2020,FT,Data Scientist,3000000,INR,IN,India,SG,Singapore,"Machine Learning, Python, SQL, Statistics",Technology,2020-02-25,Winter,1
2020,FT,Data Scientist,35000,EUR,FR,France,AU,Australia,"Machine Learning, Python, SQL, Statistics",Technology,2020-02-14,Winter,1
2020,FT,Lead Data Analyst,87000,USD,US,United States,CN,China,"Excel, Power BI, SQL, Tableau",Finance,2020-12-02,Winter,4
2020,FT,Data Analyst,85000,USD,US,United States,IT,Italy,"Excel, Power BI, SQL, Tableau",Finance,2020-05-21,Spring,2
2020,FT,Data Analyst,8000,USD,PK,Pakistan,ES,Spain,"Excel, Power BI, SQL, Tableau",Finance,2020-07-06,Summer,3
2020,FT,Data Engineer,4450000,JPY,JP,Japan,PL,Poland,"ETL, Python, SQL, Spark",Technology,2020-06-05,Summer,2
2020,FT,Big Data Engineer,100000,EUR,GB,United Kingdom,PT,Portugal,"ETL, Python, SQL, Spark",Technology,2020-08-25,Summer,3
2020,FT,Data Science Consultant,423000,INR,IN,India,GR,Greece,"Communication, Python, SQL",General,2020-07-13,Summer,3
2020,FT,Lead Data Engineer,56000,USD,US,United States,MX,Mexico,"ETL, Python, SQL, Spark",Technology,2020-12-14,Winter,4
2020,FT,Machine Learning Engineer,299000,CNY,CN,China,DK,Denmark,"Deep Learning, Python, Scikit-learn, TensorFlow",Technology,2020-05-26,Spring,2
2020,FT,Product Data Analyst,450000,INR,IN,India,NG,Nigeria,"Excel, Power BI, SQL, Tableau",Finance,2020-11-03,Autumn,4
2020,FT,Data Engineer,42000,EUR,GR,Greece,CH,Switzerland,"ETL, Python, SQL, Spark",Technology,2020-06-01,Summer,2
2020,FT,BI Data Analyst,98000,USD,US,United States,LU,Luxembourg,"Excel, Power BI, SQL, Tableau",Finance,2020-02-09,Winter,1
2020,FT,Lead Data Scientist,115000,USD,AE,United Arab Emirates,AT,Austria,"Machine Learning, Python, SQL, Statistics",Technology,2020-06-20,Summer,2
2020,FT,Director of Data Science,325000,USD,US,United States,BE,Belgium,"Communication, Python, SQL",General,2020-10-24,Autumn,4
2020,FT,Research Scientist,42000,USD,NL,Netherlands,HR,Croatia,"Data Analysis, Python, R, Statistics",Healthcare,2020-10-26,Autumn,4
2020,FT,Data Engineer,720000,MXN,MX,Mexico,IQ,Iraq,"ETL, Python, SQL, Spark",Technology,2020-03-09,Spring,1
2020,CT,Business Data Analyst,100000,USD,US,United States,UA,Ukraine,"Excel, Power BI, SQL, Tableau",Finance,2020-05-08,Spring,2
2020,FT,Machine Learning Manager,157000,CAD,CA,Canada,IL,Israel,"Deep Learning, Python, Scikit-learn, TensorFlow",Technology,2020-11-27,Autumn,4
2020,FT,Data Engineering Manager,51999,EUR,DE,Germany,CZ,Czech Republic,"ETL, Python, SQL, Spark",Technology,2020-05-23,Spring,2
2020,FT,Big Data Engineer,70000,USD,US,United States,RO,Romania,"ETL, Python, SQL, Spark",Technology,2020-07-10,Summer,3
2020,FT,Data Scientist,60000,EUR,US,United States,CL,Chile,"Machine Learning, Python, SQL, Statistics",Technology,2020-06-09,Summer,2
2020,FT,Research Scientist,450000,USD,US,United States,MD,Moldova,"Data Analysis, Python, R, Statistics",Healthcare,2020-11-19,Autumn,4
2020,FT,Data Analyst,41000,EUR,FR,France,KE,Kenya,"Excel, Power BI, SQL, Tableau",Finance,2020-07-28,Summer,3
2020,FT,Data Engineer,65000,EUR,AT,Austria,SI,Slovenia,"ETL, Python, SQL, Spark",Technology,2020-06-10,Summer,2
2020,FT,Data Science Consultant,103000,USD,US,United States,MT,Malta,"Communication, Python, SQL",General,2020-05-01,Spring,2
2020,FT,Machine Learning Engineer,250000,USD,US,United States,DZ,Algeria,"Deep Learning, Python, Scikit-learn, TensorFlow",Technology,2020-09-02,Autumn,3
2020,FT,Data Analyst,10000,USD,NG,Nigeria,EE,Estonia,"Excel, Power BI, SQL, Tableau",Finance,2020-02-13,Winter,1
2020,FT,Machine Learning Engineer,138000,USD,US,United States,MY,Malaysia,"Deep Learning, Python, Scikit-learn, TensorFlow",Technology,2020-02-03,Winter,1
2020,FT,Data Scientist,45760,USD,US,United States,IE,Ireland,"Machine Learning, Python, SQL, Statistics",Technology,2020-06-27,Summer,2
2020,FT,Data Engineering Manager,70000,EUR,ES,Spain,AE,United Arab Emirates,"ETL, Python, SQL, Spark",Technology,2020-10-15,Autumn,4
2020,FT,Machine Learning Infrastructure Engineer,44000,EUR,PT,Portugal,VN,Vietnam,"Deep Learning, Python, Scikit-learn, TensorFlow",Technology,2020-02-05,Winter,1
2020,FT,Data Engineer,106000,USD,US,United States,AS,American Samoa,"ETL, Python, SQL, Spark",Technology,2020-06-07,Summer,2
2020,FT,Data Engineer,88000,GBP,GB,United Kingdom,,,"ETL, Python, SQL, Spark",Technology,2020-04-18,Spring,2
2020,PT,ML Engineer,14000,EUR,DE,Germany,,,"Communication, Python, SQL",General,2020-11-25,Autumn,4
2020,FT,Data Scientist,60000,GBP,GB,United Kingdom,,,"Machine Learning, Python, SQL, Statistics",Technology,2020-06-09,Summer,2
2020,FT,Data Engineer,188000,USD,US,United States,,,"ETL, Python, SQL, Spark",Technology,2020-11-15,Autumn,4
2020,FT,Data Scientist,105000,USD,US,United States,,,"Machine Learning, Python, SQL, Statistics",Technology,2020-05-22,Spring,2
2020,FT,Data Engineer,61500,EUR,FR,France,,,"ETL, Python, SQL, Spark",Technology,2020-06-17,Summer,2
2020,FT,Data Analyst,450000,INR,IN,India,,,"Excel, Power BI, SQL, Tableau",Finance,2020-12-16,Winter,4
2020,FT,Data Analyst,91000,USD,US,United States,,,"Excel, Power BI, SQL, Tableau",Finance,2020-10-07,Autumn,4
2020,FT,AI Scientist,300000,DKK,DK,Denmark,,,"Deep Learning, NLP, Neural Networks, Python",Technology,2020-04-11,Spring,2
2020,FT,Data Engineer,48000,EUR,DE,Germany,,,"ETL, Python, SQL, Spark",Technology,2020-03-27,Spring,1
2020,FL,Computer Vision Engineer,60000,USD,US,United States,,,"Communication, Python, SQL",General,2020-09-23,Autumn,3
2020,FT,Principal Data Scientist,130000,EUR,DE,Germany,,,"Machine Learning, Python, SQL, Statistics",Technology,2020-04-04,Spring,2
2020,FT,Data Scientist,34000,EUR,ES,Spain,,,"Machine Learning, Python, SQL, Statistics",Technology,2020-08-13,Summer,3
2020,FT,Data Scientist,118000,USD,US,United States,,,"Machine Learning, Python, SQL, Statistics",Technology,2020-06-13,Summer,2
2020,FT,Data Scientist,120000,USD,US,United States,,,"Machine Learning, Python, SQL, Statistics",Technology,2020-02-12,Winter,1
2020,FT,Data Scientist,138350,USD,US,United States,,,"Machine Learning, Python, SQL, Statistics",Technology,2020-02-23,Winter,1
2020,FT,Data Engineer,110000,USD,US,United States,,,"ETL, Python, SQL, Spark",Technology,2020-06-16,Summer,2
2020,FT,Data Engineer,130800,USD,US,United States,,,"ETL, Python, SQL, Spark",Technology,2020-10-03,Autumn,4
2020,PT,Data Scientist,19000,EUR,IT,Italy,,,"Machine Learning, Python, SQL, Statistics",Technology,2020-04-10,Spring,2
2020,FT,Data Scientist,412000,USD,US,United States,,,"Machine Learning, Python, SQL, Statistics",Technology,2020-08-11,Summer,3
2020,FT,Machine Learning Engineer,40000,EUR,HR,Croatia,,,"Deep Learning, Python, Scikit-learn, TensorFlow",Technology,2020-06-26,Summer,2
2020,FT,Data Scientist,55000,EUR,DE,Germany,,,"Machine Learning, Python, SQL, Statistics",Technology,2020-03-20,Spring,1
2020,FT,Data Scientist,43200,EUR,DE,Germany,,,"Machine Learning, Python, SQL, Statistics",Technology,2020-10-10,Autumn,4
2020,FT,Data Science Manager,190200,USD,US,United States,,,"Communication, Python, SQL",General,2020-12-21,Winter,4
2020,FT,Data Scientist,105000,USD,US,United States,,,"Machine Learning, Python, SQL, Statistics",Technology,2020-02-28,Winter,1
2020,FT,Data Scientist,80000,EUR,AT,Austria,,,"Machine Learning, Python, SQL, Statistics",Technology,2020-05-10,Spring,2
2020,FT,Data Scientist,55000,EUR,LU,Luxembourg,,,"Machine Learning, Python, SQL, Statistics",Technology,2020-06-16,Summer,2
