Job Title,Company,City,Country,Experience (Months),Job Description,Skills Required,Salary Range,Job Type,Posted Date
Modelling & Data Analyst- India GDC (Gurugram),ERM Group,,India,,"Who is ERM?
ERM is a leading global sustainability consulting firm, committed for nearly 50 years to helping organizations navigate complex environmental, social, and governance (ESG) challenges. We bring together a diverse and inclusive community of experts across regions and disciplines, providing a truly multicultural environment that fosters collaboration, professional growth, and meaningful global exposure. As a people-first organization, ERM values well-being, career development, and the power of collective expertise to drive sustainable impact for our clients—and the planet.

Introducing our new Global Delivery Centre (GDC)
Our Global Delivery Centre (GDC) in India is a unified platform designed to deliver high-value services and solutions to ERM’s global clientele. By centralizing key business and consulting functions, we streamline operations, optimize service delivery, and enable our teams to focus on what matters most—advising clients on sustainability challenges with agility and innovation. Through the GDC, you will collaborate with international teams, leverage emerging technologies, and further enhance ERM’s commitment to excellence—amplifying our shared mission to make a lasting, positive impact.

Job Objective

ERM is seeking a Modelling & Data Analyst to develop algorithms, financial models, and analytical tools that link non-financial ESG data with financial outcomes. This role is ideal for a professional with a strong quantitative background, proficient in statistical modelling, machine learning, and financial analysis. The candidate will work on transforming sustainability materiality and maturity frameworks into automated, scalable models that assess performance and valuation impacts.

This is a non-client-facing offshore role focused on data-driven ESG research and tool development.

The Ideal Candidate

You bring a robust background in financial modelling and valuation with a deep passion for sustainability (e.g. climate, nature, employees wellbeing, sustainable revenue). You have demonstrated success in integrating ESG factors into transaction analysis and investment decision-making. With experience in investment banking, strategy consulting, or transaction advisory—and preferably exposure to private equity—you are adept at turning complex and qualitative ESG concepts into actionable financial insights. You will be able to communicate with senior stakeholders and provide thought leader in this evolving space.

RESPONSIBILITIES:

Quantitative Research & Algorithm Development
• Design data-driven models that quantify the impact of ESG factors on financial performance.
• Develop statistical algorithms that integrate materiality and maturity definitions into predictive financial models.
• Leverage machine learning techniques (e.g., regression analysis, clustering, time-series forecasting) to identify trends in ESG data.

Data Analysis & Model Development
• Build automated financial modelling tools that incorporate non-financial (ESG) data and financial metrics.
• Develop custom ESG performance indicators that can be used in due diligence, exit readiness, and investment decision-making.
• Standardize ESG data inputs and apply weightings/scoring methodologies to determine financial relevance.

Tool Development & Automation
• Work with developers to code ESG models into dashboards or automated financial tools.
• Implement AI/ML techniques to enhance model predictive capabilities.
• Ensure models are scalable and adaptable across multiple industries and investment types.

Data Management & Validation
• Collect, clean, and structure large datasets from financial reports, ESG databases, and regulatory filings.
• Conduct sensitivity analyses to validate model accuracy and effectiveness.
• Ensure consistency in ESG metrics and definitions across all analytical frameworks.

REQUIRED SKILLS & EXPERIENCE:

Educational Background
• Master’s in Finance, Econometrics, Data Science, Quantitative Economics, Mathematics, Statistics, or a related field.
• CFA, FRM, or other financial analysis certifications are a plus.

Technical & Analytical Proficiency
• Financial & Statistical Modelling: Advanced Excel, Python, R, or MATLAB for quantitative research and financial modelling.
• Machine Learning & AI: Proficiency in ML algorithms for forecasting, clustering, and risk modelling.
• Data Analysis & Automation: Experience with SQL, Power BI, or other data visualization tools.
• ESG & Financial Integration: Understanding of ESG materiality frameworks (SASB, MSCI, S&P, etc.) and their impact on valuations.

Professional Experience
• Minimum 3-5 years in quantitative research, financial modelling, or ESG data analysis.
• Experience in building proprietary financial tools/models for investment firms or financial consultancies.
• Strong background in factor modelling, risk assessment, and alternative data analysis.

Personal Attributes
• Highly analytical, structured thinker with attention to detail.
• Ability to work independently in an offshore role, managing multiple datasets and models.
• Passion for quantifying ESG impact in financial terms.",,N/A,Full-time,2025-04-24T09:00:00.000Z
"Analyst, Data Governance",WARNERMEDIA,Hyderabad,India,,"Welcome to Warner Bros. Discovery… the stuff dreams are made of.

Who We Are…

When we say, “the stuff dreams are made of,” we’re not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD’s vast portfolio of iconic content and beloved brands, are the storytellers bringing our characters to life, the creators bringing them to your living rooms and the dreamers creating what’s next…

From brilliant creatives, to technology trailblazers, across the globe, WBD offers career defining opportunities, thoughtfully curated benefits, and the tools to explore and grow into your best selves. Here you are supported, here you are celebrated, here you can thrive.

OVERVIEW

Analyst, Data Governance is part of the Global Production Delivery and Enterprise Metadata Governance Center of Excellence, within the Global Content Operations organization. It is a critical role responsible for governing WBD title inventory data for all content and platforms globally. The person in this role performs extensive data analysis to govern logical title inventory, taking action to create/mapp/apply the correct metadata, and enforcing WBD data governance policies. They will participate in large scale inventory migration projects, ensuring discreet title inventory is created and maintained. They will assist in the establishment of best practices and policy, in partnership with the broader metadata team. English fluency is required.

KEY RESPONSIBILITIES
• Performs extensive data analysis across high volumes of all WBD title inventory, as part of several large-scale initiatives across the enterprise
• Execute data mapping and the creation and/or modification of central inventory structures across multiple content supply chain systems and processes
• Analyzes and executes on daily global requests for new title creation and mapping to existing title inventory
• Works with key stakeholders globally, responding to inquiries, troubleshooting, and resolving metadata conflicts
• Participates in the development/enhancement of data dictionaries in partnership with broader metadata team
• Creates/manages title inventory and contract metadata based on deadline-based workflow
• Ensure ongoing data accuracy, quality, and on-time delivery of metadata

QUALIFICATIONS
• Bachelor’s degree in computer science, data governance, or data analytics.
• Written and spoken English fluency required
• 1-2 years experience in the media industry is preferred, with knowledge of media workflows
• Extensive knowledge of and appreciation for global media content as a consumer or education background in film/media is advantageous
• Experience with taxonomies is advantageous
• Attention to detail and ability to multitask
• Ability to organize, plan and prioritize work
• Ability to work to a deadline as part of a team in a fast-paced environment

How We Get Things Done…

This last bit is probably the most important! Here at WBD, our guiding principles are the core values by which we operate and are central to how we get things done. You can find them at www.wbd.com/guiding-principles/ along with some insights from the team on what they mean and how they show up in their day to day. We hope they resonate with you and look forward to discussing them during your interview.

Championing Inclusion at WBD
Warner Bros. Discovery embraces the opportunity to build a workforce that reflects the diversity of our society and the world around us. Being an equal opportunity employer means that we take seriously our responsibility to consider qualified candidates on the basis of merit, regardless of sex, gender identity, ethnicity, age, sexual orientation, religion or belief, marital status, pregnancy, parenthood, disability or any other category protected by law.

If you’re a qualified candidate with a disability and you require adjustments or accommodations during the job application and/or recruitment process, please visit our accessibility page for instructions to submit your request.",,N/A,Full-time,2025-03-25T00:00:00.000Z
Senior Data Analyst,eBay,Bengaluru,India,,"At eBay, we're more than a global ecommerce leader — we’re changing the way the world shops and sells. Our platform empowers millions of buyers and sellers in more than 190 markets around the world. We’re committed to pushing boundaries and leaving our mark as we reinvent the future of ecommerce for enthusiasts.

Our customers are our compass, authenticity thrives, bold ideas are welcome, and everyone can bring their unique selves to work — every day. We're in this together, sustaining the future of our customers, our company, and our planet.

Join a team of passionate thinkers, innovators, and dreamers — and help us connect people and build communities to create economic opportunity for all.

Role Overview:
The Tax Data Solutions team is responsible for delivering business insights and high impact analyses to the Tax function in eBay. The team addresses strategic and operational questions facing the business including process automations, business sizing and impact measurement, and data science solutions.
The role is data and analytically intensive. Successful candidates will offer a strategic perspective, sound business judgment and a collaborative working style. They will possess strong intellectual curiosity, and a passion for achieving practical business impact.

Primary Job Responsibilities
• Use SQL/Python/Alteryx to analyse data, create summarized reports and provide insights and recommendations
• Create Tableau dashboards for continuous monitoring of important business metrics
• Establish a monitoring framework for business initiatives and ensure business unit is alerted in case of Issue.
• Perform ad-hoc analysis to support data driven decisions for tax business
• Do risk assessments of new tax rules, calculate out of pocket expenses
• Calculate the breakage in GMV/Revenue because of tax law changes
• Present analysis to stakeholders independently
• Perform peer QC of codes and deliverables to ensure most accurate reports are sent out
• Build close partnership with the business unit to Identify and Explore areas of impactful analytics and operational opportunities to help drive Operational efficiencies and Cost Reduction
• Post-launch monitoring: measure performance of features and programs post launch and report back to product and business teams.
• Promote a self-serve analytics culture for the organization by educating partners on key reports, data, and interpretation best practices.
• Maintain a close and pro-active collaboration with other business functions like Customer Services, Legal, Product and Finance teams to ensure visibility across functions

Job skills required:
• Intellectual curiosity, passion for problem-solving, and comfort with ambiguity
• Excellent technical skills for data analysis and process development, especially SQL.
• Alteryx and Python skills are also good to have.
• A proven track record of end to end analytics - problem definition, collating the required information, analyzing the results, synthesizing and communicating a compelling argument and influencing partners to act
• Proficient in data visualization and Self-serve tools like Tableau
• Experienced in handling big data (Hadoop, Teradata, etc.)
• Agile experience
• Ability to translate commercial requirements into software solutions
• Capable to work independently while acting as part of a global tax team

Desired Qualifications:
• 6 years of experience in Advanced Analytics
• Proven knowledge in SQL programming language. Python and Alteryx is a good to have skill.

Please see the Talent Privacy Notice for information regarding how eBay handles your personal data collected when you use the eBay Careers website or apply for a job with eBay.

eBay is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you have a need that requires accommodation, please contact us at talent@ebay.com. We will make every effort to respond to your request for accommodation as soon as possible. View our accessibility statement to learn more about eBay's commitment to ensuring digital accessibility for people with disabilities.

This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies. Visit our Privacy Center for more information.",,N/A,Full-time,2025-04-11T00:00:00.000Z
Manager-Data Analytics,American Express,Gurugram,India,,"You Lead the Way. We’ve Got Your Back.

With the right backing, people and businesses have the power to progress in incredible ways. When you join Team Amex, you become part of a global and diverse community of colleagues with an unwavering commitment to back our customers, communities and each other. Here, you’ll learn and grow as we help you create a career journey that’s unique and meaningful to you with benefits, programs, and flexibility that support you personally and professionally.

At American Express, you’ll be recognized for your contributions, leadership, and impact—every colleague has the opportunity to share in the company’s success. Together, we’ll win as a team, striving to uphold our company values and powerful backing promise to provide the world’s best customer experience every day. And we’ll do it with the utmost integrity, and in an environment where everyone is seen, heard and feels like they belong.

Join Team Amex and let's lead the way together.

How will you make an impact in this role?

We are seeking a highly skilled and experienced Data Engineering & Reporting Manager to lead our team in India. This role will drive accurate data collection and data availability to empower our analytics organizations. The ideal candidate has a strong technical background in data capture, digital tag implementation, cloud data storage, ETL processes, and data visualization.

Primary Responsibilities
• Lead and manage a team of data engineers and reporting specialists, providing guidance, mentorship, and performance management.
• Oversee the collection, storage, and processing of digital data from Adobe Analytics and other sources.
• Design, develop, and maintain ETL pipelines to extract, transform, and load data into data warehouses (e.g., BigQuery).
• Build and maintain a cohesive, high-quality operational data layer to support the needs of analytics teams.
• Ensure data accuracy, consistency, and reliability through rigorous data validation and quality control processes.
• Develop and implement advanced data visualization solutions (e.g., dashboards, reports) to communicate insights effectively to stakeholders.

Minimum Qualifications
• Bachelor's or Master's degree in Computer Science, Information Systems, Statistics, or a related field
• 3+ years of experience in data engineering, with a focus on data warehousing, ETL, and data analysis.
• 2+ years of experience managing and leading a team of data professionals.
• Adobe Certified Expert Developer/Architect
• Strong proficiency in SQL and experience with BigQuery or other cloud-based data warehousing platforms.
• Excellent data visualization skills, with experience in creating dashboards and reports using industry-standard tools

Preferred Qualifications
• Strong understanding of data modeling concepts and database design principles.
• Experience in the financial sector is a plus.
• Excellent communication, collaboration, and problem-solving skills.
• Ability to work independently and as part of a team in a fast-paced environment.
• Strong project management skills and the ability to manage multiple priorities.

We back our colleagues and their loved ones with benefits and programs that support their holistic well-being. That means we prioritize their physical, financial, and mental health through each stage of life. Benefits include:
• Competitive base salaries
• Bonus incentives
• Support for financial-well-being and retirement
• Comprehensive medical, dental, vision, life insurance, and disability benefits (depending on location)
• Flexible working model with hybrid, onsite or virtual arrangements depending on role and business need
• Generous paid parental leave policies (depending on your location)
• Free access to global on-site wellness centers staffed with nurses and doctors (depending on location)
• Free and confidential counseling support through our Healthy Minds program
• Career development and training opportunities

American Express is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran status, disability status, age, or any other status protected by law.

Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations.",,N/A,Full-time,2025-04-24T00:00:00.000Z
Data Scientist,United Airlines,Gurugram,India,,"Achieving our goals starts with supporting yours. Grow your career, access top-tier health and wellness benefits, build lasting connections with your team and our customers, and travel the world using our extensive route network.

Come join us to create what’s next. Let’s define tomorrow, together.

Description

United's Digital Technology team designs, develops, and maintains massively scaling technology solutions brought to life with innovative architectures, data analytics, and digital solutions.

Find your future at United! We’re reinventing what our industry looks like, and what an airline can be – from the planes we fly to the people who fly them. When you join us, you’re joining a global team of 100,000+ connected by a shared passion with a wide spectrum of experience and skills to lead the way forward.
 
Achieving our ambitions starts with supporting yours. Evolve your career and find your next opportunity. Get the care you need with industry-leading health plans and best-in-class programs to support your emotional, physical, and financial wellness. Expand your horizons with travel across the world’s biggest route network. Connect outside your team through employee-led Business Resource Groups.
 
Create what’s next with us. Let’s define tomorrow together.

Job overview and responsibilities:

The Analytics and Innovation (Ai) team at United Airlines works to innovate, transform, and solve complex business problems resulting in significant and measurable enterprise impact through the application of deep cross-functional business expertise and advanced analytics. We work with business and technology partners across the enterprise (e.g. Airport Operations, Contact Centers, Network Planning, Revenue Management, Digital Products, Human Resources, etc.) to influence strategic decisions, enterprise strategy, business process, and to help connect the dots across the enterprise. We aim to be an organization with whom and within everyone loves to work!

Data Scientists within Ai partner with business and technology leaders across the company to deploy AI & ML powered solutions to support and automate business processes. The team works closely with other teams in digital technology with complementing skills and capabilities. The key objectives are to drive incremental revenue, boost customer engagement and to automate manual processes by leveraging state-of-the-art ML techniques. Data Scientists contribute in developing smart and innovative solutions across many of United’s departments.
• Working on projects in conjunction with business teams to identify opportunities for improvement, gather and analyze information and data, develop improvements and innovations
• Apply knowledge of statistics, machine learning, programming, and data modeling to recognize patterns, identify opportunities, evaluate business opportunities, and deliver valuable insights
• Effectively structure communication of insights from work streams and deliver clear and professional presentations to the team/team leaders/managers/stakeholders
• Scope, size and plan DS project roadmaps with clear milestones, metrics and identify potential derailment factors. Drive end-to-end execution from incubation to production.
• Deliver high quality AI/ML solutions and maintain proper documentation to foster seamless workflows and code-reusability principles.
• Performing regular technical coordination/reviews with stake holders and ensuring timely reporting and escalations if any
• Propose and develop innovative solution approaches based on scientific research or empirical studies

This position is offered on local terms and conditions. Expatriate assignments and sponsorship for employment visas, even on a time-limited visa status, will not be awarded. This position is for
United Airlines Business Services Pvt. Ltd - a wholly owned subsidiary of United Airlines Inc.

Qualifications
What’s needed to succeed (Minimum Qualifications):
• BTech/Bachelor’s degree in Engineering, Technology, Computer Science, Statistics, Operations Research, Applied Mathematics, Economics
• Full time 4-7 years relevant work experience in analytics/data science
• Proficiency with mathematics and statistical analysis with significant hands-on experience in AI / Data Science.
• Proficiency in Programming Languages (Python), SQL, Excel and other Microsoft Office products
• Knowledge in exploratory analysis, predictive modeling, prescriptive modeling, strong understanding of machine learning algorithms like Regression, Bagging (Decision Trees, RF), Boosting (XGBoost, GBM), Clustering (KMeans), Deep learning, NLP and Computer Vision.
• Hands on experience of working in Deep Learning Models and related frameworks like TensorFlow, Keras, PyTorch etc.
• Sound understanding in AWS services including Sagemaker, Redshift, Athena, S3 & AWS data lake.
• Ability to bridge business context with technical details and explain and discuss mathematical and machine learning technicalities to a business audience
• Ability to work collaboratively with a variety of business, data science and technical stakeholders.

What will help you propel from the pack (Preferred Qualifications):
• MTech/Master’s degree in Data Science, Business Analytics, Engineering, Technology, Computer Science, Statistics, Operations Research, Applied Mathematics, Economics
• Previous airline business experience
• Experience in developing & deploying the end-to-end data science pipeline into production.",,N/A,Full-time,2025-04-24T23:00:00.000Z
Data Analyst(Immediate Joiner),Tata Consultancy Services,Gurugram,India,,"Responsibilities
• Understand the day-to-day issues that our business faces, which can be better understood with data
• Compile and analyze data related to business' issues
• Develop clear visualizations to convey complicated data in a straightforward fashion

iversity and inclusivity.]",,N/A,Full-time,2025-04-19T00:00:00.000Z
Data Analytics Intmd Analyst - C11 - CHENNAI,Citi,Chennai,India,,"The Data Analytics Intmd Analyst is a developing professional role. Deals with most problems independently and has some latitude to solve complex problems. Integrates in-depth specialty area knowledge with a solid understanding of industry standards and practices. Good understanding of how the team and area integrate with others in accomplishing the objectives of the subfunction/ job family. Applies analytical thinking and knowledge of data analysis tools and methodologies. Requires attention to detail when making judgments and recommendations based on the analysis of factual information. Typically deals with variable issues with potentially broader business impact. Applies professional judgment when interpreting data and results. Breaks down information in a systematic and communicable manner. Developed communication and diplomacy skills are required in order to exchange potentially complex/sensitive information. Moderate but direct impact through close contact with the businesses' core activities. Quality and timeliness of service provided will affect the effectiveness of own team and other closely related teams.

Responsibilities:
• Integrates in-depth data analysis knowledge with a solid understanding of industry standards and practices.
• Demonstrates a Good understanding of how data analytics teams and area integrate with others in accomplishing objectives.
• Applies project management skills.
• Applies analytical thinking and knowledge of data analysis tools and methodologies.
• Analyzes factual information to make accurate judgments and recommendations focused on local operations and broader impacts.
• Applies professional judgment when interpreting data and results breaking down information in a systematic and communicable manner.
• Employs developed communication and diplomacy skills to exchange potentially complex/sensitive information.
• Demonstrates attention to quality and timeliness of service to ensure the effectiveness of the team and group.
• Provides informal guidance or on-the-job-training to new team members.
• Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.

Qualifications:
• 5+ years relevant experience
• Strong expertise in Hadoop , Python , Spark , Hive, RDBMS, Scala
• Knowledge of tools for statistical modeling of large data sets
• Ability to effectively use complex analytical, interpretive and problem solving techniques
• Demonstrated interpersonal, verbal and written communication skills

Education:
• Bachelor’s/University degree or equivalent experience

This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.

------------------------------------------------------

Job Family Group:
Technology

------------------------------------------------------

Job Family:
Data Analytics

------------------------------------------------------

Time Type:
Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting",,N/A,Full-time,2025-04-16T00:00:00.000Z
EAD| Engg| Data Analyst| Consultant,deloitte,Hyderabad,India,,"What impact will you make?

Every day, your work will make an impact that matters, while you thrive in a dynamic culture of inclusion, collaboration and high performance. As the undisputed leader in professional services, Deloitte is where you will find unrivaled opportunities to succeed and realize your full potential

Deloitte is where you will find unrivaled opportunities to succeed and realize your full potential.

The Team

Deloitte’s Technology and Transformation practice can help you uncover and unlock the value buried deep inside vast amounts of data. Our global network provides strategic guidance and implementation services to help companies manage data from disparate sources and convert it into accurate, actionable information that can support fact-driven decision-making and generate an insight-driven advantage. Our practice addresses the continuum of opportunities in business intelligence & visualization, data management, performance management and next-generation analytics and technologies, including big data, cloud, cognitive and machine learning.

Learn more about Analytics and Information Management Practice

Work you’ll do

As a Consultants/Senior Consultant in our Consulting team, you’ll build and nurture positive working relationships with teams and clients with the intention to exceed client expectations. You’ll:
• Excellent Data handling and good analytical skills to collect, transform and discover patterns.
• Technical proficiency in writing code in Python, advanced SQL queries
• Competence in conducting more sophisticated data analyses.
• Ability to manipulate and transform complex datasets for in-depth analysis.
• Proficiency in working with databases, including designing queries and managing large datasets.
• Advanced Visualization: Capability to create advanced visualizations and dashboards to communicate complex findings. (Looker Studio/Power BI/Tableau).
• Problem-Solving: Strong problem-solving skills to address complex data challenges and discrepancies
• Experience in translating business challenges into data problems and coming up with solutions.
• Fluency in articulating findings to peer group and stakeholders
• Prior experience in data transformation projects is a bonus.
• Good domain knowledge understanding

Your role as a leader

At Deloitte India, we believe in the importance of leadership at all levels. We expect our people to embrace and live our purpose by challenging themselves to identify issues that are most important for our clients, our people, and for society and make an impact that matters.

In addition to living our purpose, Senior Consultant across our organization:
• Develop high-performing people and teams through challenging and meaningful opportunities
• Deliver exceptional client service; maximize results and drive high performance from people while fostering collaboration across businesses and borders
• Influence clients, teams, and individuals positively, leading by example and establishing confident relationships with increasingly senior people
• Understand key objectives for clients and Deloitte; align people to objectives and set priorities and direction.
• Acts as a role model, embracing and living our purpose and values, and recognizing others for the impact they make

How you will grow

At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there is always room to learn. We offer opportunities to help build excellent skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Explore Deloitte University, The Leadership Centre.

Benefits

At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean for you.

Our purpose

Deloitte is led by a purpose: To make an impact that matters.

Every day, Deloitte people are making a real impact in the places they live and work. We pride ourselves on doing not only what is good for clients, but also what is good for our people and the

Communities in which we live and work—always striving to be an organization that is held up as a role model of quality, integrity, and positive change. Learn more about Deloitte's impact on the world

Recruiter tips

We want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area you are applying to. Check out recruiting tips from Deloitte professionals.",,N/A,Full-time,2025-04-15T00:00:00.000Z
Data Science Associate,Metyis,Bengaluru,India,,"Who We Are

The next step of your career starts here, where you can bring your own unique mix of skills and perspectives to a fast-growing team.

Metyis is a global and forward-thinking firm operating across a wide range of industries, developing and delivering AI & Data, Digital Commerce, Marketing & Design solutions and Advisory services. At Metyis, our long-term partnership model brings long-lasting impact and growth to our business partners and clients through extensive execution capabilities.

With our team, you can experience a collaborative environment with highly skilled multidisciplinary experts, where everyone has room to build bigger and bolder ideas. Being part of Metyis means you can speak your mind and be creative with your knowledge. Imagine the things you can achieve with a team that encourages you to be the best version of yourself.

We are Metyis. Partners for Impact.

What We Offer
• Interact with C-level at our clients on regular basis to drive their business towards impactful change
• Lead your team in creating new business solutions
• Seize opportunities at the client and at Metyis in our entrepreneurial environment
• Become part of a fast growing international and diverse team

What You Will Do
• Execute data science projects from start to end.
• Understand client business problems, define analytical approaches, and develop actionable solutions.
• Engage directly with stakeholders to gather requirements, present findings, and guide data-driven decisions.
• Preprocess and analyze structured and unstructured data using statistical approach.
• Build and deploy predictive models, forecasting solutions, recommendation systems.
• Collaborate with engineering, product, and business teams to translate insights into outcomes.
• Communicate results clearly through presentations and storytelling.

What You’ll Bring
• Graduate degree or higher with courses in programming, econometrics / data science
• Experience: 3 - 6 years of professional work experience in advanced analytics domain, using statistical modeling and deep learning for business problem solutions.
• Well-developed Logical Reasoning, Critical Thinking & Problem-Solving abilities.
• Excellent presentations skills and storytelling capabilities.
• Self-driven with a collaborative attitude and a passion for delivering business value through data.
• Strong hands-on experience in Python/R and SQL.
• Good understanding and Experience with cloud platforms such as Azure, AWS, or GCP.
• Experience with data visualization tools in python like – Seaborn, Plotly. Good understanding of Git concepts.
• Good experience with data manipulation tools in python like – Pandas, Numpy.
• Must have worked with scikit learn, NLTK, Spacy, transformers.
• Strong foundation in machine learning algorithms, predictive modeling, and statistical analysis.
• Good understanding of deep learning concepts, especially in NLP and Computer Vision applications.
• Proficiency in time-series forecasting and business analytics for functions like marketing, sales, operations, and CRM. Exposure to tools like – Mlflow, model deployment, API integration, and CI/CD pipelines.

Good to have:
• Generative AI Experience with text and Image data.
• Familiarity with LLM frameworks such as LangChain and hubs like Hugging Face.
• Exposure to vector databases (e.g., FAISS, Pinecone, Weaviate) for semantic search or retrieval-augmented generation (RAG).

In a changing world, diversity and inclusion are core values for team well-being and performance. At Metyis, we want to welcome and retain all talents, regardless of gender, age, origin or sexual orientation, and irrespective of whether or not they are living with a disability, as each of them has their own experience and identity.",,N/A,Full-time,2025-04-24T17:00:00.000Z
Sustainability Data Analyst,ABB,Bengaluru,India,,"Sustainability Data Analyst
At ABB, we are dedicated to addressing global challenges. Our core values: care, courage, curiosity, and collaboration - combined with a focus on diversity, inclusion, and equal opportunities - are key drivers in our aim to empower everyone to create sustainable solutions.
Write the next chapter of your ABB story.

This is a position with grade

12
This position reports to

Global People Analytics Lead
Your role and responsibilities

We are looking for a detail-oriented and data-driven Data Analyst to join our team, focusing on HR sustainability and Environmental, Social, and Governance (ESG) reporting. In this role, you will be collecting, analyzing, and interpreting HR and ESG data to provide actionable insights that support the organization’s sustainability goals. Your work will be integral to tracking progress, identifying areas of improvement, and ensuring compliance with ESG reporting frameworks.

The work model for the role is Hybrid #LI-Hybrid

This role is contributing to the HR function based out in Bangalore.

You will be mainly accountable for:

• Gather and systematically organizing HR and ESG-related data from both internal and external sources along with developing and maintaining efficient data flows to effectively monitor HR sustainability and ESG metrics.
• Ensuring the quality, accuracy, and completeness of data through regular audits and validation processes, safeguarding the integrity of the data.
• Analyzing HR sustainability data such as workforce diversity, employee well-being, training, and retention and provide actionable insights to drive improvements in HR sustainability and ESG performance.
• Preparing comprehensive reports in alignment with ESG standards (e.g., ESRS, GRI, SASB, TCFD), focusing on human capital metrics, while supporting both internal and external sustain-ability reporting.
• Collaborating closely with HR, sustainability, and compliance teams to align data analysis with organizational goals and working with IT teams to optimize data infrastructure for ESG and HR sustainability metrics.
• Partnering with stakeholders to define and refine key performance indicators (KPIs) that measure HR sustainability and ESG performance effectively.
• Conducting benchmarking studies to assess the organization’s performance relative to industry standards and competitors and stay well informed on emerging trends and regulatory changes in HR sustainability and ESG reporting.
• Presenting key findings and recommendations to senior leadership and other key stakeholders, driving strategic decisions that enhance HR sustainability and ESG practices.

Qualifications for the role
• Bachelor’s degree in data science, Statistics, Business Analytics, Sustainability, or a related field., Advanced degree or certifications in ESG reporting or data analytics.
• 6+ years of experience in data programming with SQL with data visualization platforms such as Power BI, or similar tools
• Must have knowledge of Workday reporting/Prism.
• Experience with data visualization platforms (e.g., Tableau, Power BI) and familiarity with ESG reporting frameworks (e.g., ESRS, GRI, SASB, TCFD), proficiency in data analysis tools (e.g., Py-thon, R, SQL, Excel).
• Strong quantitative and analytical abilities to interpret complex datasets and identify trends, risks, and opportunities for improvement.
• High accuracy in data validation, cleaning, and reporting, ensuring compliance with ESG stand-ards.
• Excellent written and verbal communication skills for presenting findings to technical and non-technical audiences, with strong interpersonal skills for cross-functional collaboration.

More about us

In ABB HR our mission is to help ABB stand out when it comes to our people - from leadership, performance and talent management to rewards and career growth. Our goal is to be an employer of choice and deliver excellent experiences throughout the employee lifecycle.

We value people from different backgrounds. Apply today for your next career step within ABB and visit www.abb.com to learn about the impact of our solutions across the globe. #MyABBStory

It has come to our attention that the name of ABB is being used for asking candidates to make payments for job opportunities (interviews, offers). Please be advised that ABB makes no such requests. All our open positions are made available on our career portal for all fitting the criteria to apply. ABB does not charge any fee whatsoever for recruitment process. Please do not make payments to any individuals / entities in connection to recruitment with ABB, even if is claimed that the money is refundable. ABB is not liable for such transactions. For current open positions you can visit our career website https://global.abb/group/en/careers and apply. Please refer to detailed recruitment fraud caution notice using the link https://global.abb/group/en/careers/how-to-apply/fraud-warning",,N/A,Full-time,2025-04-08T00:00:00.000Z
